product_id,product_name,price,detail,published_date,publisher,product_image,author
19,처음 만나는 통계와 데이터분석: R과 Python 활용 (R과 Python 활용),20000,"통계와 데이터분석은 금융권 업무와 동떨어져 있고, 극소수의 사람만 알면 되는 그다지 쓸모없는 지식인 것처럼 여겨지던 때가 있었습니다. 그러나 지금은 데이터의 시대
이고 빅데이터 분석과 활용이 화두가 될 정도로 상황이 많이 바뀌었습니다. 여기저기에서 통계와 데이터분석을 배우지 않으면 남들보다 뒤처질 것처럼 얘기하다 보니 왠
지 꼭 배워야만 할 것 같은 분위기",20220314,한국금융연수원,\img\처음 만나는 통계와 데이터분석: R과 Python 활용 (R과 Python 활용).jpg,윤정연
20,파이썬(Python) 3 (쉽고 재미있는 프로그래밍 언어),22500,"『파이썬(Python) 3』은 쉽고 강력한 프로그래밍 언어인 파이썬에 대한 책이다. 파이썬의 기초, 시쿨리, 안드로이드 환경에서의 파이썬 스크립팅, 파이썬을 사용한 문자열 다루기, 다양한 파이썬 패키지의 소개와 다루는 법, 자이썬 등을 다룬다.",20140212,인피니티북스,\img\파이썬(Python) 3 (쉽고 재미있는 프로그래밍 언어).jpg,최용
21,"Python Deep Learning, 3/E (Understand how deep neural networks work and apply them to real-world tas",39000,"Master effective navigation of neural networks, including convolutions and transformers, to tackle computer vision and NLP tasks using Python

Key Features:

- Understand the theory, mathematical foun",20231124,Packt Publishing,"\img\Python Deep Learning, 3_E (Understand how deep neural networks work and apply them to real-world tasks).jpg",Ivan Vasilev
22,3D 딥러닝 with python (PyTorch3D 등을 사용하여 3D 데이터로 컴퓨터 비전 모델 설계/개발 (한국어판)),26100,이 책은 3D 딥러닝에 대해 다룬 도서입니다. 기초적이고 전반적인 내용을 학습할 수 있습니다.,20240418,홍릉,\img\3D 딥러닝 with python (PyTorch3D 등을 사용하여 3D 데이터로 컴퓨터 비전 모델 설계_개발 (한국어판)).jpg,서정용^송재숙
23,The Python Workshop,59000,"More than just a Python guide for beginners, The Python Workshop takes you through the full spectrum of basic to advanced topics, equipping you with the skills you need to get started with data scienc",20200301,Packt Publishing,\img\The Python Workshop.jpg,Andrew Bird^DR LAU CHER HAN^MA
24,The Python (파이썬 프로그래밍),20000,"파이썬을 배우기 위해 여러권의 책이 필요 없습니다. 파이썬에 관한 단 한권의 책을 선택해야 한다면 이 책입니다. 프로그래밍 언어와 코딩을 배우길 원하는 사람, 파이썬 애플리케이션을 만들고 싶은 사람, 머신러닝으로 데이터를 분석하고 싶은사람, 파이썬은 이 모두에게 필요합니다. 이 책은 파이썬 프로그래밍 언어의 개념을 확실히 심어줍니다.",20181113,부크크(Bookk),\img\The Python (파이썬 프로그래밍).jpg,허진경
25,비트코딩 Python (최초의 문제은행식 코딩문제집),20000,"『비트코딩 Python』은 문제은행식 코딩 문제집으로 총 516문항을 수록하였다. 또한 각 단원마다 난이도 별 연습문제로 개념을 확실하게 잡을 수 있도록 구성하였으며, 다양한 영역과 다양한 주제의 신선한 문제를 삽입하였다. 이 교재는 처음 코딩을 배우는 학생, 코딩 수업을 듣는 학생, 코딩을 빠르게 하고 싶은 학생, 코딩공부를 해도 프로그램을 작성하는 것이",20181019,햄큐(HAMQ),\img\비트코딩 Python (최초의 문제은행식 코딩문제집).jpg,박해민
26,Pro Python,77600,"Not only will this book help your code, it will also help you understand and interact with the many established Python communities, or even start your own. Take your Python knowledge and coding skills",20100601,Apress,\img\Pro Python.jpg,Marty Alchin
27,Pro Python,77600,"Pro Python, Second Edition explores concepts and features normally left to experimentation, allowing you to be even more productive and creative.In addition to pure code concerns, Pro Python develops ",20150107,Apress,\img\Pro Python.jpg,Unknown
28,Python 프로그래밍 (스마트로봇 EV3를 활용한),27000,"『Python 프로그래밍』은 〈스마트로봇 EV3의 개요 및 구성〉, 〈파이썬의 개요 및 설정〉, 〈파이썬 프로그램 작성과 실행〉 등이 수록되어 있다.",20200915,상학당,\img\Python 프로그래밍 (스마트로봇 EV3를 활용한).jpg,남상엽
